lexp,text,childhood,reason
exp,text,True,"The passage mentions that Ortenz is specifically looking for primary sources that characterize children's experience of music. These sources include personal journals, literary texts, and sources produced by 'ordinary people'. Ortenz also mentions that she prefers these sources as they provide more reliable feedback. Additionally, she aims to collect sources from different historical periods to characterize the development of identified phenomena. All these aspects indicate that the passage helps address and answer the scenario regarding children's experience of music in different historical periods."
http://data.open.ac.uk/led/lexp/1449011557797,"In the evening we went to the Wickliffe Chapel, Commercial Road, East, Rev. Andrew Reed, D.D., pastor. Dr. Reed was in America several years since, in company with Mr. Matheson, now no more. In the singing exercises, the hymn was lined out. The choir (so called) consisted of several men who occupied a square pew in front of the pulpit The first tune was Dr. Arnold’s Wareham, abridged; the second Was French (Dundee), and the third I knew not, but it was unfit for Congregational use, as it went up to G and dwelt there considerably. No small effort was made by good people around me to reach the lofty eminence, but in vain; most voices fell short of the pitch, and vibrations inharmonious followed. The hymn was that beginning, “No more, my God, I boast no more,Of all the duties I have done.” The tune Hamburg, in the key of E flat, would have suited it exactly.",False,The passage does not address or answer the scenario described. It describes a personal experience at a chapel and does not provide evidence of children's experience with music.
http://data.open.ac.uk/led/lexp/1450198228374,"Jullien was performing a piece entitled Night —I cannot now give the composer’s name. At the beginning the audience was told, either orally or by printed notice, that there might be some startling effects, but no one need be afraid,—all would end well, etc. It is not a difficult task to compose an effective piece to be called Night with the assistance of a grand orchestra as the main factor, and given an opening of quiet, monotonous tones, like Felicien David’s opening to his Desert, a lullaby, a lover’s serenade, and lots of such odds and ends, which any good man with a lively imagination can invent. At the Crystal Palace music of this sort was purring along and lulling people into reposeful security —all quiet as night should ever be—when suddenly the clang of real fire-bells was heard; people jumped from their seats; there was a big commotion ; fire and flames were seen apparently bursting from the roof of the Palace; ushers were rushing about telling people to sit down, for it was a part of the performance; the big doors were swung open, and in rushed two or three fire companies with their “machines,” hose, and great fire-ladders. These ladders were raised to the roof, and the firemen, in their traditional red flannel shirts and helmets, and carrying speaking-trumpets, climbed the ladders. Real water was squirted, glass was broken, cries, orders, every sort of noise concomitant of a fire was heard,—-plus the big orchestra, which was making a fearful din, sawing and blowing fortissimo through every possible diminished seventh that could be raked up out of the musical scale. It lasted long enough to make the most tremendously red-peppered musical sensation that mortal ears ever heard. It must be understood that all the previously distributed notices were not sufficient to prevent some timid souls from being alarmed. The noise and confusion created almost a panic. Some were fainting, others bursting with laughter, the cooler ones enthusiastically admiring the well-arranged piece. Finally, the fire was put out, the firemen with their machines retired, and the orchestra artistically prepared the audience for a song of praise and thanksgiving which came in the shape of Old Hundred played and sung, and joined in by the well-pleased audience. It was a ne plus ultra of realistic music",False,"The passage does not directly address or answer the scenario described. It is a personal account of a musical performance, but it does not provide evidence of children's experiences with music or address the collection and analysis of primary sources related to children's music experiences."
http://data.open.ac.uk/led/lexp/1448359608080,"All the churches have organs, but there is no choir in any of them, so that the singing is, as in most other German places, exclusively congregational. Of the several specimens we have heard, the best, perhaps, was at the Reformed Church.",False,"The passage does not address or answer the scenario described. It talks about churches and singing, but it does not provide any information about children's experience of music or any primary sources."
http://data.open.ac.uk/led/lexp/1444079072687,"Then it was that the Vienna Musical Union (Musik-Verein), with its mighty orchestra of two hundred and fifty first-class instrumentalists, had just attained its maximuim of effectiveness under Hans Eichter's gifted predecessor, Johann von Herbeck. Until it became my privilege to attend the Concerts of the Musik-Verein, I had never even dreamed of such an executant corporation or conceived such performances to be possible. All the leading artists — all the recognised “soloists"" of Vienna served in its ranks.",False,The passage does not provide any information or evidence about children's experiences of music. It primarily discusses a Vienna Musical Union and the performances of leading artists in Vienna.
http://data.open.ac.uk/led/lexp/1518778813446,"On this last day of the year, there was a grand ceremony at the church of the Jesuits;—to sing out the old year—to offer up thanksgivings for all past blessings—and to solicit a renewal of them in the year to come. The crowd was immense, and the ceremony very impressive. There is a principle of equality in Catholic congregations, more consonant with the spirit of that religion which teaches that God is no respecter of persons, than the practice which prevails in our own church;—where the greatest distinction is made between the accommodations of the rich and the poor. The former are carefully separated from the contamination of the latter, into pews […] In the Catholic congregations there are no such invidious distinctions;—the rich and the poor kneel down together, on the same marble floor;—as children of the same Parent—to ask the same blessings, from their common Benefactor. All the congregation joined in the chant of thanksgiving, and I was deeply impressed by the touching solemnity of the ceremony. There is always something affecting in a large concourse of people participating in the same emotion; the feeling is heightened by the contagion of sympathy, and wound up to enthusiasm by the influence of numbers.",False,The passage does not address or answer the scenario described. It describes a grand ceremony at a church but does not provide any information about children's experience of music or primary sources related to it.
http://data.open.ac.uk/led/lexp/1451947311627,"On the 15th of October, 1884, a jubilee celebration took place in Vienna at the Wieden Theatre, to commemorate the fortieth anniversary of the day upon which Johann Strauss, the ""Walzerkoenig,"" made his first public appearance in the character of an orchestral conductor. The stalls, boxes, and pit were crowded with the elite of Viennese society, fashionable, artistic, and literary...fill[ing] all the ""numbered'' seats at the Wieden... whilst the galleries were thronged almost to suffocation by Strauss's most enthusiastic admirers — the true bom Viennese of the lower middle classes. Archduke William — who, being Grand Master of the Order of St. John, seldom shows himself in a theatre — occupied the Imperial Box, whilst King Milan of Servia sate out the whole performance in a ground-tier stage box, signifying his admiration for the bénéficiaire's talents and achievements by conferring upon him, towards the close of the evening, the Cross of the Takovo Order. The progranmie of the occasion consisted of selections from Strauss's operas, conducted by himself. His desk was converted for the nonce into a gorgeous flower-bed of the costliest exotics; and his appearance thereat, baton in hand, was the signal for a demonstration of affectionate rejoicing on the part of the audience, such as, according to the leading journals of the Kaiserstadt, has never before been witnessed within the walls of a Vienna theatre. He opened the entertainment with his bright little overture to Indigo — his first opera, produced at the Wieden Theatre about twenty years ago — which was rapturously re-demanded. Then came the first act of A Night in Venice, followed by the immortal Schoene blaue Donau during the entr'acte, which inimitable waltz brought down a shower of laurel wreaths upon its composer's head. The second act of Fledermaus with some additions to the dialogue written especially for the occasion, came next, and was succeeded by ""musical episodes "" from Spitzentuch, Methusalem, Cagliostro, Der Lustige Krieg and the Carnival in Rome, each successive number being supplemented by presentations of addresses, medals, and flowers.",False,"The passage does not provide specific evidence or insights into children's experiences with music. It focuses on a jubilee celebration honoring Johann Strauss and his performances, with mentions of the elite Viennese society and dignitaries present, but does not directly address children's experiences or their emotional responses to music."
http://data.open.ac.uk/led/lexp/1432981745855,"Another object which claimed my attention, and to which I paid frequent visits, was a chime-clock, which played a tune every three hours. Its simple and plaintive melody always interested me, and the strong impression it made upon my mind now enables me to write it down from memory.",True,"The passage indicates that the author is reflecting on a personal childhood experience with music, specifically a chime-clock playing a tune that they found interesting. This aligns with Ortenz's goal of finding primary sources that depict children's experiences with music."
http://data.open.ac.uk/led/lexp/1446500672476,"On the following Tuesday, accordingly, I was in my accustomed stall [at the Hofoper] at seven precisely,  [for a performance of Lohengrin (Hohe-Preise)] just in time to see my friend Carl Eckert take his place at the conductor's desk and look over his acolytes with a circular and severely-inquiring glance before executing the smart double rap that never failed to concentrate their attention upon the tip of his ebony baton [...] As was, and I believe still is, always the case on a Wagner night, the house was crowded throughout; fashion in the side-boxes and dress-circle; science and dilettantism in the stalls, abundantly provided with spectacles and full scores ; various grades of the musical bourgeoisie in the three tiers of upper boxes, and a host of appreciative proletarians in the cheap and capacious gallery. By the time the overture had come to an end every place available to the general public was occupied, and the temperature had risen to its customary tropical degree of elevation. ""If this,"" I found myself thinking, ""be the result of the new ventilation system, the Emperor, save for the honour of the thing, might just as well have saved his money."" Had the audience been exclusively composed of orchids they could not have been more congenially accommodated in the way of atmosphere. Henry the Fowler, however, had scarcely taken his seat under the shade of the Justice Tree, the public having meanwhile settled down to enjoy and perspire in compliance with hallowed Hofoper traditions, when suddenly piercing jets of iced air invaded the house from every direction simultaneously. The effect in the stalls was that of a lively breeze; persons located higher up in the house described their experiences to me subsequently as varying between a moderate gale and a circular wind-storm of no inconsiderable violence.",False,The passage does not address or answer the scenario of characterizing children's experience of music in bibliographic and artistic sources.
http://data.open.ac.uk/led/lexp/1438703994435,"If the interest in Mademoiselle Lind's debut could have been heightened, I should have said that it was increased by the first appearance of the celebrated German bass singer, Staudigl, on the Italian boards, in his famous part of Bertram. His success in this character (for which indeed he had been expressly engaged) was as great as it was merited, although his pronunciation of the Italian language was defective. He was proclaimed the Bertram of the Italian stage, as he had been of the German, Still it was impossible for him to occupy his merited position in the operatic ""talk"" of the day, when the public mind was wholly and exclusively absorbed by one object — Jenny Lind.",False,"The passage does not provide any information or evidence related to children's experience of music. Instead, it discusses the success and popularity of Mademoiselle Lind and the German bass singer, Staudigl, among the public."
